RS,RA,OBP,SLG,BA,Playoffs,RD,W
655,703,0.331,0.358,0.255,0,-48,75
840,586,0.353,0.401,0.271,1,254,108
688,703,0.327,0.392,0.261,0,-15,79
570,786,0.301,0.366,0.249,0,-216,57
664,711,0.32,0.359,0.254,0,-47,64
710,649,0.333,0.394,0.261,0,61,91
648,534,0.325,0.365,0.248,0,114,88
675,792,0.32,0.389,0.25,0,-117,68
724,736,0.341,0.386,0.271,0,-12,76
601,690,0.317,0.348,0.244,0,-89,75
646,625,0.319,0.361,0.256,0,21,82
681,588,0.325,0.382,0.264,0,93,83
758,606,0.333,0.391,0.254,1,152,98
735,694,0.342,0.402,0.269,0,41,86
712,565,0.323,0.402,0.263,1,147,92
552,683,0.31,0.335,0.244,0,-131,71
659,671,0.333,0.365,0.259,0,-12,80
662,689,0.327,0.375,0.273,0,-27,82
714,733,0.33,0.371,0.256,0,-19,79
661,563,0.319,0.363,0.249,0,98,88
659,612,0.322,0.37,0.256,1,47,91
696,661,0.333,0.377,0.264,0,35,84
618,657,0.321,0.356,0.254,0,-39,68
669,826,0.327,0.365,0.251,0,-157,66
684,721,0.33,0.389,0.268,0,-37,80
776,631,0.343,0.394,0.26,0,145,98
662,694,0.311,0.37,0.255,0,-32,77
620,768,0.303,0.366,0.247,0,-148,72
653,632,0.322,0.378,0.263,0,21,81
667,662,0.327,0.364,0.259,0,5,77
798,561,0.342,0.401,0.272,1,237,102
647,660,0.309,0.369,0.244,0,-13,76
673,669,0.336,0.378,0.272,0,4,82
662,657,0.335,0.35,0.254,0,5,79
572,646,0.311,0.329,0.235,0,-74,71
671,623,0.324,0.368,0.263,0,48,89
689,551,0.321,0.373,0.247,1,138,90
676,701,0.32,0.373,0.261,0,-25,80
751,657,0.335,0.391,0.274,1,94,88
541,830,0.302,0.33,0.229,0,-289,60
634,723,0.322,0.358,0.252,0,-89,72
677,643,0.331,0.365,0.265,0,34,86
690,698,0.336,0.377,0.272,0,-8,83
799,774,0.339,0.427,0.266,0,25,76
754,561,0.345,0.389,0.266,1,193,97
738,647,0.338,0.401,0.267,0,91,89
629,657,0.318,0.348,0.253,0,-28,79
614,655,0.32,0.357,0.247,0,-41,77
652,705,0.324,0.372,0.256,0,-53,77
741,621,0.332,0.383,0.254,1,120,99
680,826,0.315,0.387,0.256,0,-146,71
642,674,0.32,0.39,0.254,0,-32,85
681,672,0.312,0.376,0.251,0,9,82
755,752,0.339,0.381,0.261,0,3,88
675,565,0.323,0.371,0.263,0,110,95
708,731,0.325,0.388,0.253,0,-23,74
738,692,0.342,0.393,0.27,0,46,81
668,702,0.34,0.364,0.251,0,-34,79
608,588,0.315,0.338,0.246,1,20,82
641,610,0.322,0.378,0.261,0,31,80
758,615,0.333,0.389,0.26,1,143,94
642,717,0.31,0.371,0.249,0,-75,71
704,693,0.315,0.405,0.261,0,11,80
548,770,0.296,0.351,0.244,0,-222,60
739,702,0.335,0.407,0.262,0,37,88
643,603,0.325,0.357,0.259,0,40,81
619,844,0.318,0.361,0.255,0,-225,57
643,699,0.312,0.385,0.257,0,-56,82
742,530,0.347,0.398,0.261,1,212,101
691,667,0.322,0.397,0.252,0,24,85
511,576,0.29,0.329,0.231,0,-65,76
637,648,0.325,0.378,0.258,0,-11,83
617,597,0.325,0.373,0.25,0,20,79
586,581,0.3,0.366,0.241,0,5,79
543,747,0.3,0.342,0.238,0,-204,60
701,645,0.325,0.405,0.254,0,56,91
585,567,0.302,0.34,0.24,0,18,79
603,566,0.313,0.353,0.25,0,37,85
663,587,0.325,0.37,0.266,0,76,89
534,609,0.304,0.329,0.229,0,-75,69
654,670,0.323,0.372,0.26,0,-16,74
622,729,0.322,0.343,0.246,0,-107,71
588,550,0.319,0.351,0.249,0,38,83
648,641,0.328,0.36,0.254,0,7,81
691,564,0.321,0.384,0.252,1,127,101
558,688,0.298,0.35,0.233,0,-130,67
788,599,0.33,0.416,0.274,1,189,97
486,610,0.293,0.332,0.233,0,-124,61
706,644,0.329,0.378,0.247,1,62,90
739,699,0.338,0.385,0.275,0,40,90
537,660,0.307,0.326,0.23,0,-123,63
736,772,0.334,0.404,0.27,0,-36,76
792,574,0.344,0.401,0.257,1,218,108
786,722,0.335,0.428,0.262,0,64,87
631,630,0.309,0.363,0.251,0,1,86
806,679,0.333,0.415,0.259,0,127,84
633,822,0.315,0.362,0.253,0,-189,56
775,681,0.336,0.436,0.27,1,94,102
649,675,0.314,0.394,0.249,0,-26,76
666,731,0.322,0.374,0.238,0,-65,79
744,763,0.332,0.391,0.259,0,-19,79
611,705,0.309,0.348,0.244,0,-94,65
749,684,0.334,0.382,0.27,0,65,87
613,751,0.319,0.358,0.242,0,-138,65
744,605,0.327,0.403,0.262,1,139,98
687,807,0.323,0.365,0.237,0,-120,73
695,630,0.333,0.37,0.249,0,65,83
680,612,0.324,0.365,0.251,0,68,93
678,593,0.325,0.392,0.249,0,85,89
594,730,0.305,0.356,0.238,0,-136,73
729,664,0.325,0.406,0.27,1,65,89
681,788,0.312,0.391,0.246,0,-107,63
831,826,0.351,0.409,0.262,0,5,86
744,747,0.331,0.379,0.263,0,-3,76
626,689,0.321,0.358,0.238,0,-63,70
691,631,0.321,0.38,0.258,1,60,93
779,517,0.343,0.414,0.265,1,262,109
743,736,0.333,0.415,0.251,0,7,87
528,652,0.3,0.319,0.23,0,-124,71
720,611,0.323,0.384,0.253,0,109,92
625,723,0.32,0.357,0.247,0,-98,68
798,768,0.335,0.422,0.277,0,30,89
573,717,0.307,0.345,0.237,0,-144,62
701,601,0.316,0.387,0.242,0,100,90
676,668,0.33,0.352,0.24,0,8,81
586,688,0.309,0.338,0.24,0,-102,69
645,561,0.315,0.359,0.254,0,84,85
790,618,0.34,0.408,0.268,1,172,97
582,791,0.31,0.359,0.24,0,-209,52
632,541,0.311,0.351,0.242,1,91,100
562,587,0.308,0.344,0.235,0,-25,80
740,678,0.329,0.376,0.249,0,62,88
645,745,0.312,0.372,0.241,0,-100,63
725,652,0.334,0.398,0.277,0,73,88
468,746,0.285,0.329,0.225,0,-278,52
639,799,0.316,0.346,0.234,0,-160,64
713,636,0.334,0.361,0.242,0,77,90
595,540,0.316,0.359,0.253,0,55,87
694,644,0.33,0.378,0.251,0,50,86
514,549,0.307,0.339,0.252,0,-35,81
579,497,0.304,0.352,0.225,0,82,91
614,611,0.313,0.352,0.236,0,3,86
498,615,0.291,0.318,0.227,0,-117,67
612,611,0.298,0.366,0.242,0,1,84
463,527,0.284,0.311,0.228,0,-64,67
690,673,0.32,0.389,0.273,0,17,83
516,504,0.293,0.327,0.234,0,12,86
671,492,0.307,0.385,0.235,1,179,103
510,588,0.298,0.317,0.231,0,-78,72
470,509,0.289,0.319,0.23,0,-39,76
562,546,0.299,0.35,0.237,0,16,79
473,499,0.281,0.315,0.228,0,-26,73
536,531,0.292,0.318,0.214,0,5,83
569,544,0.304,0.343,0.24,0,25,82
543,615,0.294,0.333,0.233,0,-72,76
583,532,0.306,0.343,0.252,0,51,80
599,529,0.307,0.341,0.239,0,70,88
583,472,0.298,0.346,0.249,1,111,97
524,665,0.287,0.336,0.224,0,-141,65
631,640,0.307,0.372,0.24,0,-9,77
654,592,0.31,0.372,0.24,0,62,76
722,614,0.321,0.395,0.255,1,108,92
567,587,0.301,0.349,0.238,0,-20,84
702,624,0.316,0.378,0.251,0,78,87
531,491,0.291,0.32,0.225,0,40,89
604,563,0.297,0.372,0.248,0,41,87
559,613,0.293,0.359,0.235,0,-54,75
683,587,0.325,0.376,0.243,0,96,91
626,742,0.317,0.364,0.249,0,-116,69
533,660,0.296,0.33,0.233,0,-127,62
519,595,0.301,0.332,0.236,0,-76,73
671,590,0.309,0.369,0.24,0,81,91
498,672,0.288,0.325,0.238,0,-174,61
522,621,0.296,0.317,0.225,0,-99,72
612,581,0.313,0.357,0.242,0,31,82
679,693,0.324,0.38,0.277,0,-14,81
652,551,0.313,0.372,0.245,0,101,91
695,557,0.32,0.379,0.263,1,138,101
550,637,0.288,0.326,0.223,0,-87,76
782,683,0.326,0.424,0.263,0,99,85
755,601,0.324,0.409,0.258,1,154,97
655,731,0.31,0.376,0.24,0,-76,72
604,643,0.303,0.354,0.232,0,-39,80
644,809,0.313,0.38,0.254,0,-165,59
574,517,0.297,0.331,0.231,0,57,83
692,702,0.309,0.395,0.26,0,-10,76
574,586,0.297,0.36,0.237,0,-12,81
719,698,0.321,0.406,0.251,0,21,88
612,695,0.318,0.365,0.255,0,-83,72
564,648,0.294,0.337,0.236,0,-84,74
606,490,0.314,0.362,0.256,1,116,95
663,581,0.316,0.382,0.249,0,82,89
587,761,0.301,0.342,0.239,0,-174,66
611,612,0.299,0.374,0.235,0,-1,70
696,640,0.322,0.378,0.258,0,56,87
759,641,0.329,0.428,0.279,0,118,92
675,626,0.303,0.392,0.248,0,49,93
571,577,0.298,0.368,0.251,0,-6,83
557,659,0.295,0.355,0.234,0,-102,71
641,578,0.307,0.363,0.238,0,63,94
669,791,0.327,0.4,0.251,0,-122,62
527,569,0.297,0.341,0.239,0,-42,75
635,723,0.307,0.358,0.238,0,-88,72
647,555,0.315,0.364,0.246,0,92,95
825,704,0.339,0.439,0.273,0,121,89
663,613,0.315,0.379,0.25,0,50,87
680,602,0.312,0.374,0.238,0,78,89
569,711,0.305,0.34,0.237,0,-142,65
585,755,0.309,0.358,0.24,0,-170,59
608,521,0.312,0.335,0.245,1,87,97
774,600,0.324,0.399,0.254,1,174,102
708,633,0.31,0.416,0.256,0,75,86
495,752,0.277,0.327,0.221,0,-257,50
611,604,0.299,0.364,0.235,0,7,77
654,667,0.313,0.384,0.25,0,-13,85
675,580,0.317,0.382,0.265,0,95,90
682,593,0.313,0.385,0.252,0,89,95
707,674,0.314,0.371,0.254,0,33,80
591,721,0.304,0.35,0.228,0,-130,70
679,567,0.316,0.387,0.248,0,112,97
688,793,0.322,0.416,0.258,0,-105,72
649,724,0.314,0.39,0.251,0,-75,76
642,501,0.32,0.353,0.247,0,141,98
660,566,0.308,0.372,0.249,0,94,92
689,693,0.312,0.38,0.247,0,-4,79
699,678,0.319,0.395,0.253,0,21,85
495,628,0.285,0.315,0.229,0,-133,66
621,836,0.311,0.379,0.239,0,-215,57
544,551,0.304,0.344,0.242,0,-7,82
614,572,0.305,0.34,0.25,0,42,80
737,678,0.322,0.427,0.252,0,59,79
803,744,0.333,0.418,0.272,0,59,88
569,776,0.296,0.348,0.246,0,-207,53
730,577,0.317,0.387,0.253,1,153,99
693,632,0.315,0.391,0.258,0,61,92
663,636,0.315,0.389,0.264,0,27,80
656,587,0.31,0.382,0.246,0,69,90
715,652,0.324,0.392,0.272,1,63,93
578,733,0.299,0.348,0.231,0,-155,62
644,621,0.31,0.38,0.249,0,23,86
666,704,0.312,0.4,0.252,0,-38,76
570,578,0.297,0.363,0.238,0,-8,82
683,544,0.323,0.365,0.25,0,139,94
648,594,0.31,0.371,0.246,0,54,86
635,702,0.301,0.381,0.239,0,-67,79
700,703,0.327,0.382,0.252,0,-3,79
464,640,0.283,0.301,0.22,0,-176,66
615,704,0.313,0.353,0.247,0,-89,73
597,660,0.309,0.354,0.25,0,-63,70
640,550,0.309,0.357,0.251,1,90,99
767,602,0.325,0.43,0.255,0,165,91
677,603,0.312,0.37,0.244,0,74,84
501,774,0.285,0.315,0.219,0,-273,51
714,547,0.309,0.403,0.252,1,167,104
642,578,0.306,0.381,0.252,0,64,87
567,595,0.309,0.359,0.25,0,-28,74
725,641,0.316,0.414,0.258,0,84,88
747,628,0.326,0.403,0.271,0,119,93
578,812,0.293,0.351,0.227,0,-234,56
652,680,0.314,0.387,0.248,0,-28,77
707,756,0.324,0.403,0.258,0,-49,76
632,827,0.317,0.377,0.253,0,-195,59
707,658,0.334,0.372,0.257,0,49,85
802,685,0.332,0.417,0.27,0,117,98
682,745,0.312,0.388,0.245,0,-63,80
758,692,0.33,0.411,0.248,0,66,85
592,717,0.31,0.351,0.246,0,-125,64
745,837,0.332,0.386,0.263,0,-92,72
718,706,0.325,0.38,0.25,0,12,86
842,697,0.337,0.4,0.268,0,145,102
798,713,0.338,0.412,0.26,0,85,91
730,665,0.326,0.403,0.252,0,65,86
617,948,0.318,0.361,0.24,0,-331,40
817,680,0.337,0.426,0.267,1,137,96
705,759,0.33,0.39,0.26,0,-54,81
706,626,0.321,0.394,0.268,0,80,93
878,690,0.341,0.441,0.278,1,188,103
774,664,0.335,0.394,0.271,0,110,84
599,716,0.308,0.373,0.25,0,-117,60
